# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-26_HA_F446-90_0086_14-051
# Object: W3
# Date: 2017-10-26T06:06:35.650 (MJD: 58052.25538002315)
# Project: 90_0086_14
# Exposure: 81.11112 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: 41d08m26.20s 52d41m01.90s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[2,15]	0.900 	3.854E-4 	-	0.821	1.000	1.000	79	0	2	15
R0[2,16]	0.924 	3.796E-4 	-	0.817	1.000	1.000	80	0	2	16
R0[2,17]	0.928 	4.102E-4 	-	0.808	1.000	1.000	81	0	2	17
R0[2,18]	0.934 	3.744E-4 	-	0.809	1.000	1.000	82	0	2	18
R0[2,19]	0.959 	4.029E-4 	-	0.857	1.000	1.000	83	0	2	19
R0[2,21]	0.944 	4.043E-4 	-	0.816	1.000	1.000	85	0	2	21
R0[2,22]	0.955 	3.192E-4 	-	0.835	1.000	1.000	86	0	2	22
R0[2,23]	0.928 	4.109E-4 	-	0.806	1.000	1.000	87	0	2	23
R0[2,24]	0.001 	5.499E-4 	gn	-41.194	1.000	1.000	88	0	2	24
R0[2,25]	0.922 	4.057E-4 	-	0.848	1.000	1.000	89	0	2	25
R0[2,26]	0.910 	4.489E-4 	-	0.874	1.000	1.000	90	0	2	26
R0[2,28]	0.838 	3.004E-4 	-	0.929	1.000	1.000	92	0	2	28
R0[2,29]	0.815 	4.631E-4 	-	0.889	1.000	1.000	93	0	2	29
R0[2,30]	0.003 	2.500E-3 	gn	22.286	1.000	1.000	94	0	2	30
R0[2,31]	0.763 	2.253E-4 	-	0.861	1.000	1.000	95	0	2	31
R0[3,0]	0.414 	2.913E-5 	n	-0.034	1.000	1.000	96	0	3	0
R0[3,1]	0.451 	2.444E-5 	n	-0.100	1.000	1.000	97	0	3	1
R0[3,2]	0.469 	2.289E-5 	n	-0.172	1.000	1.000	98	0	3	2
R0[3,3]	0.506 	2.070E-5 	n	-0.044	1.000	1.000	99	0	3	3
R0[3,4]	0.002 	8.278E-5 	gn	17.884	1.000	1.000	100	0	3	4
R0[3,5]	0.652 	3.879E-5 	n	0.140	1.000	1.000	101	0	3	5
R0[3,7]	0.782 	1.527E-4 	-	0.619	1.000	1.000	103	0	3	7
R0[3,8]	0.857 	1.157E-4 	-	0.698	1.000	1.000	104	0	3	8
R0[3,9]	0.883 	2.749E-4 	-	0.785	1.000	1.000	105	0	3	9
R0[3,10]	1.341 	5.581E-5 	-	0.757	1.000	1.000	106	0	3	10
R0[3,11]	0.943 	4.108E-4 	-	0.884	1.000	1.000	107	0	3	11
R0[3,12]	0.937 	4.464E-4 	-	0.860	1.000	1.000	108	0	3	12
R0[3,13]	0.945 	2.905E-4 	-	0.794	1.000	1.000	109	0	3	13
R0[3,14]	0.944 	4.091E-4 	-	0.766	1.000	1.000	110	0	3	14
R0[3,15]	0.996 	4.063E-4 	-	0.774	1.000	1.000	111	0	3	15
R0[3,16]	-0.000 	3.754E-4 	gn	207.066	1.000	1.000	112	0	3	16
R0[3,17]	0.000 	3.952E-4 	gn	-206.906	1.000	1.000	113	0	3	17
R0[3,18]	1.009 	2.540E-4 	-	0.856	1.000	1.000	114	0	3	18
