# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 209.17871999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[3,26]	1.046 	3.324E-4 	-	0.795	1.000	1.000	122	0	3	26
R0[4,0]	0.611 	7.320E-4 	-	1.019	1.000	1.000	128	0	4	0
R0[4,1]	0.619 	6.023E-4 	-	1.041	1.000	1.000	129	0	4	1
R0[4,2]	0.605 	7.429E-4 	-	0.997	1.000	1.000	130	0	4	2
R0[4,3]	0.625 	6.709E-4 	-	1.008	1.000	1.000	131	0	4	3
R0[4,4]	0.698 	6.304E-4 	-	0.927	1.000	1.000	132	0	4	4
R0[4,5]	0.748 	6.097E-4 	-	0.908	1.000	1.000	133	0	4	5
R0[4,7]	1.085 	3.823E-4 	-	0.757	1.000	1.000	135	0	4	7
R0[4,8]	0.001 	9.877E-3 	gn	-3.149	1.000	1.000	136	0	4	8
R0[4,9]	0.883 	3.766E-4 	-	0.883	1.000	1.000	137	0	4	9
R0[4,10]	0.869 	5.099E-4 	-	0.878	1.000	1.000	138	0	4	10
R0[4,11]	0.000 	1.319E-2 	gn	0.000	1.000	1.000	139	0	4	11
R0[4,12]	0.916 	2.621E-4 	-	0.839	1.000	1.000	140	0	4	12
R0[4,13]	0.937 	4.040E-4 	-	0.835	1.000	1.000	141	0	4	13
R0[4,14]	0.942 	4.551E-4 	-	0.824	1.000	1.000	142	0	4	14
R0[4,15]	1.246 	3.477E-4 	-	0.699	1.000	1.000	143	0	4	15
R0[4,16]	1.061 	3.333E-4 	-	0.774	1.000	1.000	144	0	4	16
R0[4,17]	1.005 	4.136E-4 	-	0.793	1.000	1.000	145	0	4	17
R0[4,18]	1.041 	4.577E-4 	-	0.757	1.000	1.000	146	0	4	18
R0[4,19]	0.001 	3.313E-3 	gn	-13.044	1.000	1.000	147	0	4	19
R0[4,21]	0.286 	3.119E-3 	g	0.792	1.000	1.000	149	0	4	21
R0[4,22]	0.938 	4.656E-4 	-	0.763	1.000	1.000	150	0	4	22
R0[4,23]	0.960 	3.406E-4 	-	0.745	1.000	1.000	151	0	4	23
R0[4,24]	0.000 	8.173E-3 	gn	0.000	1.000	1.000	152	0	4	24
R0[4,25]	0.946 	4.011E-4 	-	0.720	1.000	1.000	153	0	4	25
R0[4,26]	0.907 	4.900E-4 	-	0.751	1.000	1.000	154	0	4	26
R0[5,0]	0.737 	5.472E-4 	-	0.900	1.000	1.000	160	0	5	0
R0[5,1]	0.786 	5.573E-4 	-	0.908	1.000	1.000	161	0	5	1
R0[5,2]	0.680 	5.968E-4 	-	1.006	1.000	1.000	162	0	5	2
R0[5,3]	0.702 	5.842E-4 	-	0.941	1.000	1.000	163	0	5	3
R0[5,4]	0.821 	4.968E-4 	-	0.886	1.000	1.000	164	0	5	4
R0[5,5]	0.885 	4.267E-4 	-	0.890	1.000	1.000	165	0	5	5
R0[5,7]	0.827 	5.035E-4 	-	0.935	1.000	1.000	167	0	5	7
R0[5,8]	0.047 	6.594E-3 	gn	0.675	1.000	1.000	168	0	5	8
R0[5,9]	0.882 	4.743E-4 	-	0.894	1.000	1.000	169	0	5	9
R0[5,10]	0.927 	4.789E-4 	-	0.865	1.000	1.000	170	0	5	10
R0[5,11]	0.960 	2.892E-4 	-	0.821	1.000	1.000	171	0	5	11
R0[5,12]	0.000 	1.177E-2 	gn	0.000	1.000	1.000	172	0	5	12
R0[5,13]	0.960 	4.303E-4 	-	0.803	1.000	1.000	173	0	5	13
R0[5,14]	1.058 	3.695E-4 	-	0.773	1.000	1.000	174	0	5	14
R0[5,15]	1.131 	3.229E-4 	-	0.763	1.000	1.000	175	0	5	15
R0[5,16]	1.380 	2.650E-4 	-	0.670	1.000	1.000	176	0	5	16
R0[5,17]	1.134 	3.805E-4 	-	0.742	1.000	1.000	177	0	5	17
R0[5,18]	1.064 	3.833E-4 	-	0.739	1.000	1.000	178	0	5	18
R0[5,19]	1.078 	2.786E-4 	-	0.765	1.000	1.000	179	0	5	19
R0[5,21]	0.943 	4.991E-4 	-	0.769	1.000	1.000	181	0	5	21
R0[5,22]	0.968 	4.284E-4 	-	0.746	1.000	1.000	182	0	5	22
R0[5,23]	0.986 	4.850E-4 	-	0.736	1.000	1.000	183	0	5	23
R0[5,24]	0.000 	8.295E-3 	gn	0.000	1.000	1.000	184	0	5	24
R0[5,25]	0.962 	4.419E-4 	-	0.727	1.000	1.000	185	0	5	25
R0[5,26]	0.648 	9.448E-4 	-	0.705	1.000	1.000	186	0	5	26
R0[6,0]	0.668 	6.136E-4 	-	1.006	1.000	1.000	192	0	6	0
R0[6,1]	0.671 	5.546E-4 	-	0.982	1.000	1.000	193	0	6	1
R0[6,2]	0.645 	6.674E-4 	-	1.004	1.000	1.000	194	0	6	2
