# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-26_HA_F446-90_0086_12-068
# Object: W3
# Date: 2017-10-26T06:53:59.610 (MJD: 58052.28829622685)
# Project: 90_0086_12
# Exposure: 79.73352 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: 34d42m36.48s 58d06m46.22s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[2,16]	0.822 	1.143E-4 	-	1.094	1.000	1.000	80	0	2	16
R0[2,17]	0.778 	1.520E-4 	-	1.057	1.000	1.000	81	0	2	17
R0[2,18]	0.769 	1.248E-4 	-	1.072	1.000	1.000	82	0	2	18
R0[2,19]	0.799 	1.343E-4 	-	1.012	1.000	1.000	83	0	2	19
R0[2,21]	0.814 	1.432E-4 	-	0.966	1.000	1.000	85	0	2	21
R0[2,22]	0.774 	1.433E-4 	-	0.982	1.000	1.000	86	0	2	22
R0[2,23]	0.790 	1.433E-4 	-	0.999	1.000	1.000	87	0	2	23
R0[2,24]	0.014 	3.340E-5 	gn	-1.962	1.000	1.000	88	0	2	24
R0[2,25]	0.783 	1.475E-4 	-	0.939	1.000	1.000	89	0	2	25
R0[2,26]	0.777 	1.648E-4 	-	0.941	1.000	1.000	90	0	2	26
R0[2,28]	0.728 	9.817E-5 	-	0.945	1.000	1.000	92	0	2	28
R0[2,29]	0.690 	1.043E-4 	-	0.979	1.000	1.000	93	0	2	29
R0[2,30]	0.701 	1.632E-4 	-	0.968	1.000	1.000	94	0	2	30
R0[2,31]	0.643 	2.084E-4 	-	0.974	1.000	1.000	95	0	2	31
R0[3,0]	0.379 	2.756E-4 	-	0.932	1.000	1.000	96	0	3	0
R0[3,1]	0.619 	2.618E-4 	-	0.979	1.000	1.000	97	0	3	1
R0[3,2]	0.631 	2.834E-4 	-	1.005	1.000	1.000	98	0	3	2
R0[3,3]	0.664 	2.177E-4 	-	1.027	1.000	1.000	99	0	3	3
R0[3,4]	0.006 	9.099E-5 	gn	-2.103	1.000	1.000	100	0	3	4
R0[3,5]	0.727 	1.627E-4 	-	1.068	1.000	1.000	101	0	3	5
R0[3,7]	0.750 	1.440E-4 	-	1.082	1.000	1.000	103	0	3	7
R0[3,8]	0.765 	1.135E-4 	-	1.162	1.000	1.000	104	0	3	8
R0[3,9]	0.788 	1.504E-4 	-	1.107	1.000	1.000	105	0	3	9
R0[3,10]	1.088 	1.991E-5 	-	1.189	1.000	1.000	106	0	3	10
R0[3,11]	0.801 	1.088E-4 	-	1.127	1.000	1.000	107	0	3	11
R0[3,12]	0.792 	1.488E-4 	-	1.092	1.000	1.000	108	0	3	12
R0[3,13]	0.792 	1.578E-4 	-	1.088	1.000	1.000	109	0	3	13
R0[3,14]	0.787 	1.360E-4 	-	1.072	1.000	1.000	110	0	3	14
R0[3,15]	0.816 	1.480E-4 	-	1.077	1.000	1.000	111	0	3	15
R0[3,16]	0.012 	3.697E-5 	gn	-4.906	1.000	1.000	112	0	3	16
R0[3,17]	0.013 	3.905E-5 	gn	-4.946	1.000	1.000	113	0	3	17
R0[3,18]	0.838 	7.240E-5 	-	1.049	1.000	1.000	114	0	3	18
R0[3,19]	0.850 	1.001E-4 	-	1.003	1.000	1.000	115	0	3	19
R0[3,21]	0.821 	1.209E-4 	-	0.990	1.000	1.000	117	0	3	21
R0[3,22]	0.017 	3.317E-5 	gn	-2.277	1.000	1.000	118	0	3	22
R0[3,23]	0.822 	1.031E-4 	-	0.998	1.000	1.000	119	0	3	23
R0[3,24]	0.013 	3.767E-5 	gn	-6.868	1.000	1.000	120	0	3	24
R0[3,25]	0.815 	1.065E-4 	-	0.941	1.000	1.000	121	0	3	25
R0[3,26]	0.812 	1.193E-4 	-	0.952	1.000	1.000	122	0	3	26
R0[3,28]	-9.655 	2.404E-10 	gn	-10.062	1.000	1.000	124	0	3	28
R0[3,29]	0.746 	9.194E-5 	-	0.943	1.000	1.000	125	0	3	29
R0[3,30]	0.711 	1.541E-4 	-	0.959	1.000	1.000	126	0	3	30
R0[3,31]	0.632 	2.384E-4 	-	0.984	1.000	1.000	127	0	3	31
R0[4,0]	0.578 	3.469E-4 	-	0.977	1.000	1.000	128	0	4	0
R0[4,1]	0.577 	3.848E-4 	-	0.990	1.000	1.000	129	0	4	1
R0[4,2]	0.580 	3.667E-4 	-	1.006	1.000	1.000	130	0	4	2
R0[4,3]	0.585 	3.168E-4 	-	1.025	1.000	1.000	131	0	4	3
R0[4,4]	0.627 	2.820E-4 	-	1.047	1.000	1.000	132	0	4	4
R0[4,5]	0.656 	2.507E-4 	-	1.089	1.000	1.000	133	0	4	5
R0[4,7]	0.822 	3.630E-5 	-	1.180	1.000	1.000	135	0	4	7
R0[4,8]	0.008 	5.839E-5 	gn	-3.727	1.000	1.000	136	0	4	8
R0[4,9]	0.720 	1.408E-4 	-	1.116	1.000	1.000	137	0	4	9
R0[4,10]	0.705 	1.718E-4 	-	1.121	1.000	1.000	138	0	4	10
R0[4,11]	0.008 	5.354E-5 	gn	-7.849	1.000	1.000	139	0	4	11
R0[4,12]	0.720 	1.035E-4 	-	1.071	1.000	1.000	140	0	4	12
R0[4,13]	0.730 	1.706E-4 	-	1.047	1.000	1.000	141	0	4	13
R0[4,14]	0.751 	1.693E-4 	-	1.078	1.000	1.000	142	0	4	14
R0[4,15]	0.892 	4.151E-5 	-	1.062	1.000	1.000	143	0	4	15
R0[4,16]	0.786 	9.356E-5 	-	1.043	1.000	1.000	144	0	4	16
R0[4,17]	0.770 	1.433E-4 	-	0.998	1.000	1.000	145	0	4	17
R0[4,18]	0.813 	1.034E-4 	-	0.996	1.000	1.000	146	0	4	18
R0[4,19]	0.015 	3.435E-5 	gn	-4.084	1.000	1.000	147	0	4	19
R0[4,21]	0.171 	6.036E-5 	gn	0.572	1.000	1.000	149	0	4	21
R0[4,22]	0.726 	1.639E-4 	-	0.977	1.000	1.000	150	0	4	22
R0[4,23]	0.747 	1.050E-4 	-	0.958	1.000	1.000	151	0	4	23
R0[4,24]	0.012 	2.319E-5 	gn	-11.774	1.000	1.000	152	0	4	24
R0[4,25]	0.752 	1.247E-4 	-	0.914	1.000	1.000	153	0	4	25
R0[4,26]	0.721 	1.882E-4 	-	0.894	1.000	1.000	154	0	4	26
R0[4,28]	0.008 	1.247E-4 	gn	-5.945	1.000	1.000	156	0	4	28
R0[4,29]	0.680 	1.210E-4 	-	0.897	1.000	1.000	157	0	4	29
R0[4,30]	0.683 	1.228E-4 	-	0.907	1.000	1.000	158	0	4	30
R0[4,31]	0.636 	2.422E-4 	-	0.963	1.000	1.000	159	0	4	31
R0[5,0]	0.655 	1.758E-4 	-	1.013	1.000	1.000	160	0	5	0
R0[5,1]	0.689 	1.397E-4 	-	1.051	1.000	1.000	161	0	5	1
R0[5,2]	0.603 	3.346E-4 	-	1.032	1.000	1.000	162	0	5	2
R0[5,3]	0.640 	1.546E-4 	-	1.083	1.000	1.000	163	0	5	3
R0[5,4]	0.681 	2.100E-4 	-	1.095	1.000	1.000	164	0	5	4
R0[5,5]	0.752 	1.120E-4 	-	0.955	1.000	1.000	165	0	5	5
R0[5,7]	0.703 	1.761E-4 	-	1.094	1.000	1.000	167	0	5	7
R0[5,8]	0.034 	5.220E-5 	gn	0.298	1.000	1.000	168	0	5	8
R0[5,9]	0.725 	1.693E-4 	-	1.066	1.000	1.000	169	0	5	9
R0[5,10]	0.734 	1.357E-4 	-	1.065	1.000	1.000	170	0	5	10
R0[5,11]	0.758 	8.074E-5 	-	1.058	1.000	1.000	171	0	5	11
R0[5,12]	0.004 	3.556E-5 	gn	0.000	1.000	1.000	172	0	5	12
R0[5,13]	0.747 	1.748E-4 	-	1.068	1.000	1.000	173	0	5	13
R0[5,14]	0.795 	8.733E-5 	-	1.064	1.000	1.000	174	0	5	14
R0[5,15]	0.835 	7.850E-5 	-	1.098	1.000	1.000	175	0	5	15
R0[5,16]	0.987 	2.737E-5 	-	1.082	1.000	1.000	176	0	5	16
R0[5,17]	0.843 	7.309E-5 	-	0.973	1.000	1.000	177	0	5	17
R0[5,18]	0.836 	9.461E-5 	-	0.971	1.000	1.000	178	0	5	18
R0[5,19]	0.787 	1.037E-4 	-	1.024	1.000	1.000	179	0	5	19
R0[5,21]	0.730 	1.596E-4 	-	1.014	1.000	1.000	181	0	5	21
R0[5,22]	0.753 	1.293E-4 	-	1.002	1.000	1.000	182	0	5	22
R0[5,23]	0.758 	1.305E-4 	-	0.960	1.000	1.000	183	0	5	23
R0[5,24]	0.012 	3.480E-5 	gn	-11.774	1.000	1.000	184	0	5	24
R0[5,25]	0.745 	1.407E-4 	-	0.858	1.000	1.000	185	0	5	25
R0[5,26]	0.492 	3.017E-4 	-	0.801	1.000	1.000	186	0	5	26
R0[5,28]	0.768 	6.812E-5 	-	0.904	1.000	1.000	188	0	5	28
R0[5,29]	0.712 	9.131E-5 	-	0.909	1.000	1.000	189	0	5	29
R0[5,30]	0.742 	6.907E-5 	-	0.904	1.000	1.000	190	0	5	30
R0[5,31]	0.698 	1.679E-4 	-	0.944	1.000	1.000	191	0	5	31
R0[6,0]	0.622 	2.927E-4 	-	1.028	1.000	1.000	192	0	6	0
R0[6,1]	0.611 	3.162E-4 	-	1.058	1.000	1.000	193	0	6	1
R0[6,2]	0.602 	3.378E-4 	-	1.033	1.000	1.000	194	0	6	2
R0[6,3]	0.885 	4.847E-5 	-	1.125	1.000	1.000	195	0	6	3
R0[6,4]	0.742 	1.068E-4 	-	1.113	1.000	1.000	196	0	6	4
R0[6,5]	0.838 	4.085E-5 	-	1.217	1.000	1.000	197	0	6	5
R0[6,7]	0.696 	1.850E-4 	-	1.060	1.000	1.000	199	0	6	7
R0[6,8]	0.723 	1.691E-4 	-	1.029	1.000	1.000	200	0	6	8
R0[6,9]	0.746 	1.490E-4 	-	1.050	1.000	1.000	201	0	6	9
R0[6,10]	0.799 	9.241E-5 	-	1.047	1.000	1.000	202	0	6	10
R0[6,11]	0.008 	5.588E-5 	gn	-3.798	1.000	1.000	203	0	6	11
R0[6,12]	0.760 	8.265E-5 	-	0.946	1.000	1.000	204	0	6	12
R0[6,13]	0.746 	1.529E-4 	-	1.042	1.000	1.000	205	0	6	13
R0[6,14]	0.758 	1.171E-4 	-	1.060	1.000	1.000	206	0	6	14
R0[6,15]	0.775 	9.555E-5 	-	1.072	1.000	1.000	207	0	6	15
