# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_80-047
# Object: omc1_c
# Date: 2016-12-03T07:43:50.590 (MJD: 57725.32291405092)
# Project: 88_0005_80
# Exposure: 84.48624 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 130d08m04.31s 37d14m20.20s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[2,24]	0.000 	4.286E-3 	gn	-21.747	1.000	1.000	88	0	2	24
R0[2,25]	0.000 	4.320E-3 	gn	-36.541	1.000	1.000	89	0	2	25
R0[2,26]	-0.000 	4.312E-3 	gn	79.478	1.000	1.000	90	0	2	26
R0[3,0]	0.293 	1.694E-3 	g	1.132	1.000	1.000	96	0	3	0
R0[3,1]	0.595 	6.414E-4 	-	1.030	1.000	1.000	97	0	3	1
R0[3,2]	0.624 	6.455E-4 	-	0.972	1.000	1.000	98	0	3	2
R0[3,3]	0.706 	4.967E-4 	-	0.917	1.000	1.000	99	0	3	3
R0[3,4]	0.002 	5.820E-3 	gn	-0.171	1.000	1.000	100	0	3	4
R0[3,5]	0.814 	3.981E-4 	-	0.857	1.000	1.000	101	0	3	5
R0[3,7]	0.869 	3.970E-4 	-	0.806	1.000	1.000	103	0	3	7
R0[3,8]	0.903 	4.009E-4 	-	0.775	1.000	1.000	104	0	3	8
R0[3,9]	0.937 	3.773E-4 	-	0.761	1.000	1.000	105	0	3	9
R0[3,10]	1.425 	2.634E-4 	-	0.637	1.000	1.000	106	0	3	10
R0[3,11]	0.994 	3.391E-4 	-	0.741	1.000	1.000	107	0	3	11
R0[3,12]	0.988 	3.594E-4 	-	0.748	1.000	1.000	108	0	3	12
R0[3,13]	0.993 	3.621E-4 	-	0.716	1.000	1.000	109	0	3	13
R0[3,14]	0.959 	3.990E-4 	-	0.716	1.000	1.000	110	0	3	14
R0[3,15]	1.015 	3.950E-4 	-	0.712	1.000	1.000	111	0	3	15
R0[3,16]	0.000 	6.293E-3 	gn	-14.278	1.000	1.000	112	0	3	16
R0[3,17]	0.002 	8.275E-3 	gn	-1.915	1.000	1.000	113	0	3	17
R0[3,18]	1.068 	2.420E-4 	-	0.697	1.000	1.000	114	0	3	18
R0[3,19]	1.088 	3.021E-4 	-	0.669	1.000	1.000	115	0	3	19
R0[3,21]	1.023 	3.529E-4 	-	0.687	1.000	1.000	117	0	3	21
R0[3,22]	0.002 	6.338E-3 	gn	-2.717	1.000	1.000	118	0	3	22
R0[3,23]	1.061 	3.691E-4 	-	0.657	1.000	1.000	119	0	3	23
R0[3,24]	0.000 	4.680E-3 	gn	-43.766	1.000	1.000	120	0	3	24
R0[3,25]	1.048 	3.006E-4 	-	0.673	1.000	1.000	121	0	3	25
R0[3,26]	1.010 	3.999E-4 	-	0.685	1.000	1.000	122	0	3	26
R0[4,0]	0.584 	8.053E-4 	-	0.948	1.000	1.000	128	0	4	0
R0[4,1]	0.601 	7.747E-4 	-	0.945	1.000	1.000	129	0	4	1
R0[4,2]	0.601 	7.420E-4 	-	0.930	1.000	1.000	130	0	4	2
R0[4,3]	0.623 	7.861E-4 	-	0.903	1.000	1.000	131	0	4	3
R0[4,4]	0.701 	6.463E-4 	-	0.842	1.000	1.000	132	0	4	4
R0[4,5]	0.767 	5.716E-4 	-	0.818	1.000	1.000	133	0	4	5
R0[4,7]	1.095 	3.767E-4 	-	0.637	1.000	1.000	135	0	4	7
R0[4,8]	0.002 	6.756E-3 	gn	-2.635	1.000	1.000	136	0	4	8
R0[4,9]	0.911 	3.950E-4 	-	0.722	1.000	1.000	137	0	4	9
R0[4,10]	0.859 	5.544E-4 	-	0.724	1.000	1.000	138	0	4	10
R0[4,11]	0.000 	6.979E-3 	gn	-9.372	1.000	1.000	139	0	4	11
R0[4,12]	0.915 	3.651E-4 	-	0.711	1.000	1.000	140	0	4	12
R0[4,13]	0.928 	3.998E-4 	-	0.693	1.000	1.000	141	0	4	13
R0[4,14]	0.927 	5.320E-4 	-	0.685	1.000	1.000	142	0	4	14
R0[4,15]	1.233 	3.488E-4 	-	0.581	1.000	1.000	143	0	4	15
R0[4,16]	1.076 	3.593E-4 	-	0.661	1.000	1.000	144	0	4	16
R0[4,17]	0.986 	4.128E-4 	-	0.657	1.000	1.000	145	0	4	17
R0[4,18]	1.036 	4.507E-4 	-	0.645	1.000	1.000	146	0	4	18
R0[4,19]	0.001 	2.797E-3 	gn	-3.604	1.000	1.000	147	0	4	19
R0[4,21]	0.238 	3.523E-3 	g	0.654	1.000	1.000	149	0	4	21
R0[4,22]	0.934 	4.679E-4 	-	0.648	1.000	1.000	150	0	4	22
R0[4,23]	0.980 	3.181E-4 	-	0.633	1.000	1.000	151	0	4	23
R0[4,24]	-0.000 	4.723E-3 	gn	173.111	1.000	1.000	152	0	4	24
R0[4,25]	0.942 	4.297E-4 	-	0.659	1.000	1.000	153	0	4	25
R0[4,26]	0.905 	5.113E-4 	-	0.670	1.000	1.000	154	0	4	26
R0[5,0]	0.727 	5.081E-4 	-	0.869	1.000	1.000	160	0	5	0
R0[5,1]	0.792 	5.628E-4 	-	0.826	1.000	1.000	161	0	5	1
R0[5,2]	0.628 	7.071E-4 	-	0.927	1.000	1.000	162	0	5	2
R0[5,3]	0.743 	5.155E-4 	-	0.823	1.000	1.000	163	0	5	3
R0[5,4]	0.775 	5.838E-4 	-	0.793	1.000	1.000	164	0	5	4
R0[5,5]	0.822 	5.427E-4 	-	0.773	1.000	1.000	165	0	5	5
R0[5,7]	0.832 	5.102E-4 	-	0.755	1.000	1.000	167	0	5	7
R0[5,8]	0.033 	4.949E-3 	gn	0.371	1.000	1.000	168	0	5	8
R0[5,9]	0.898 	4.648E-4 	-	0.710	1.000	1.000	169	0	5	9
R0[5,10]	0.939 	4.492E-4 	-	0.701	1.000	1.000	170	0	5	10
R0[5,11]	0.959 	2.826E-4 	-	0.699	1.000	1.000	171	0	5	11
R0[5,12]	0.000 	7.150E-3 	gn	-7.044	1.000	1.000	172	0	5	12
R0[5,13]	0.946 	4.588E-4 	-	0.685	1.000	1.000	173	0	5	13
R0[5,14]	1.049 	3.845E-4 	-	0.643	1.000	1.000	174	0	5	14
R0[5,15]	1.118 	2.888E-4 	-	0.640	1.000	1.000	175	0	5	15
R0[5,16]	1.404 	2.583E-4 	-	0.561	1.000	1.000	176	0	5	16
R0[5,17]	1.121 	3.914E-4 	-	0.625	1.000	1.000	177	0	5	17
R0[5,18]	1.060 	4.175E-4 	-	0.636	1.000	1.000	178	0	5	18
R0[5,19]	1.013 	3.622E-4 	-	0.652	1.000	1.000	179	0	5	19
R0[5,21]	0.943 	4.739E-4 	-	0.662	1.000	1.000	181	0	5	21
R0[5,22]	0.970 	3.876E-4 	-	0.642	1.000	1.000	182	0	5	22
R0[5,23]	0.986 	4.850E-4 	-	0.626	1.000	1.000	183	0	5	23
R0[5,24]	-0.000 	4.698E-3 	gn	36.311	1.000	1.000	184	0	5	24
R0[5,25]	0.993 	3.681E-4 	-	0.623	1.000	1.000	185	0	5	25
R0[5,26]	0.638 	9.652E-4 	-	0.607	1.000	1.000	186	0	5	26
R0[6,0]	0.638 	6.114E-4 	-	0.953	1.000	1.000	192	0	6	0
R0[6,1]	0.646 	6.931E-4 	-	0.915	1.000	1.000	193	0	6	1
R0[6,2]	0.616 	7.741E-4 	-	0.926	1.000	1.000	194	0	6	2
R0[6,3]	1.051 	2.045E-4 	-	0.856	1.000	1.000	195	0	6	3
R0[6,4]	0.866 	1.268E-6 	n	0.915	1.000	1.000	196	0	6	4
R0[6,5]	1.123 	3.814E-4 	-	0.656	1.000	1.000	197	0	6	5
R0[6,7]	0.829 	5.985E-4 	-	0.751	1.000	1.000	199	0	6	7
R0[6,8]	0.866 	4.802E-4 	-	0.715	1.000	1.000	200	0	6	8
R0[6,9]	0.919 	5.141E-4 	-	0.707	1.000	1.000	201	0	6	9
R0[6,10]	1.008 	2.018E-4 	-	0.679	1.000	1.000	202	0	6	10
R0[6,11]	0.002 	8.485E-3 	gn	-1.303	1.000	1.000	203	0	6	11
R0[6,12]	0.914 	3.555E-4 	-	0.693	1.000	1.000	204	0	6	12
R0[6,13]	0.941 	4.773E-4 	-	0.662	1.000	1.000	205	0	6	13
R0[6,14]	0.974 	4.336E-4 	-	0.648	1.000	1.000	206	0	6	14
R0[6,15]	1.034 	3.867E-4 	-	0.641	1.000	1.000	207	0	6	15
R0[6,16]	1.174 	7.405E-5 	-	0.593	1.000	1.000	208	0	6	16
R0[6,17]	0.001 	9.301E-3 	gn	-1.764	1.000	1.000	209	0	6	17
R0[6,18]	0.001 	8.290E-4 	gn	-3.878	1.000	1.000	210	0	6	18
R0[6,19]	0.923 	9.513E-5 	-	0.686	1.000	1.000	211	0	6	19
R0[6,21]	0.998 	4.674E-4 	-	0.652	1.000	1.000	213	0	6	21
R0[6,22]	1.009 	4.603E-4 	-	0.642	1.000	1.000	214	0	6	22
R0[6,23]	0.952 	4.760E-4 	-	0.627	1.000	1.000	215	0	6	23
R0[6,24]	-0.000 	4.686E-3 	gn	42.056	1.000	1.000	216	0	6	24
R0[6,25]	0.922 	5.454E-4 	-	0.632	1.000	1.000	217	0	6	25
R0[6,26]	0.992 	4.695E-4 	-	0.651	1.000	1.000	218	0	6	26
R0[7,0]	0.262 	2.047E-3 	g	1.023	1.000	1.000	224	0	7	0
R0[7,1]	0.438 	1.114E-3 	-	0.983	1.000	1.000	225	0	7	1
R0[7,2]	0.017 	4.966E-3 	gn	0.747	1.000	1.000	226	0	7	2
R0[7,3]	0.682 	6.857E-4 	-	0.856	1.000	1.000	227	0	7	3
R0[7,4]	0.897 	4.714E-4 	-	0.735	1.000	1.000	228	0	7	4
R0[7,5]	0.973 	5.334E-4 	-	0.718	1.000	1.000	229	0	7	5
R0[7,7]	0.874 	5.373E-4 	-	0.745	1.000	1.000	231	0	7	7
R0[7,8]	0.897 	4.923E-4 	-	0.722	1.000	1.000	232	0	7	8
R0[7,9]	0.983 	4.804E-4 	-	0.681	1.000	1.000	233	0	7	9
R0[7,10]	1.079 	4.298E-4 	-	0.661	1.000	1.000	234	0	7	10
R0[7,11]	1.034 	3.619E-4 	-	0.687	1.000	1.000	235	0	7	11
R0[7,12]	0.948 	4.899E-4 	-	0.671	1.000	1.000	236	0	7	12
R0[7,13]	0.985 	4.174E-4 	-	0.665	1.000	1.000	237	0	7	13
R0[7,14]	0.969 	4.496E-4 	-	0.658	1.000	1.000	238	0	7	14
R0[7,15]	0.988 	3.780E-4 	-	0.648	1.000	1.000	239	0	7	15
R0[7,16]	1.251 	3.285E-4 	-	0.522	1.000	1.000	240	0	7	16
R0[7,17]	0.995 	3.879E-4 	-	0.635	1.000	1.000	241	0	7	17
R0[7,18]	0.993 	4.458E-4 	-	0.627	1.000	1.000	242	0	7	18
R0[7,19]	0.994 	4.286E-4 	-	0.643	1.000	1.000	243	0	7	19
R0[7,21]	1.095 	4.172E-4 	-	0.632	1.000	1.000	245	0	7	21
R0[7,22]	1.090 	3.982E-4 	-	0.618	1.000	1.000	246	0	7	22
R0[7,23]	0.978 	4.806E-4 	-	0.643	1.000	1.000	247	0	7	23
R0[7,24]	-0.000 	4.833E-3 	gn	52.433	1.000	1.000	248	0	7	24
R0[7,25]	1.066 	4.792E-4 	-	0.626	1.000	1.000	249	0	7	25
R0[7,26]	1.088 	2.875E-4 	-	0.639	1.000	1.000	250	0	7	26
R0[8,0]	0.000 	6.591E-3 	gn	-23.354	1.000	1.000	256	0	8	0
R0[8,1]	0.603 	8.591E-4 	-	0.934	1.000	1.000	257	0	8	1
R0[8,2]	0.152 	4.591E-3 	g	0.998	1.000	1.000	258	0	8	2
R0[8,3]	0.757 	6.159E-4 	-	0.835	1.000	1.000	259	0	8	3
R0[8,4]	0.861 	5.494E-4 	-	0.766	1.000	1.000	260	0	8	4
R0[8,5]	0.003 	4.194E-3 	gn	3.923	1.000	1.000	261	0	8	5
R0[8,7]	0.001 	6.890E-3 	gn	-0.474	1.000	1.000	263	0	8	7
R0[8,8]	0.951 	4.818E-4 	-	0.714	1.000	1.000	264	0	8	8
R0[8,9]	0.995 	4.810E-4 	-	0.701	1.000	1.000	265	0	8	9
R0[8,10]	1.092 	3.521E-4 	-	0.654	1.000	1.000	266	0	8	10
R0[8,11]	1.061 	4.360E-4 	-	0.676	1.000	1.000	267	0	8	11
R0[8,12]	1.046 	3.642E-4 	-	0.673	1.000	1.000	268	0	8	12
R0[8,13]	1.030 	4.307E-4 	-	0.664	1.000	1.000	269	0	8	13
R0[8,14]	1.022 	3.862E-4 	-	0.652	1.000	1.000	270	0	8	14
R0[8,15]	1.042 	4.183E-4 	-	0.642	1.000	1.000	271	0	8	15
R0[8,16]	1.050 	3.716E-4 	-	0.631	1.000	1.000	272	0	8	16
R0[8,17]	1.041 	4.111E-4 	-	0.630	1.000	1.000	273	0	8	17
R0[8,18]	0.835 	4.134E-4 	-	0.575	1.000	1.000	274	0	8	18
R0[8,19]	0.002 	9.442E-3 	gn	-2.061	1.000	1.000	275	0	8	19
R0[8,21]	0.000 	5.453E-3 	gn	-72.852	1.000	1.000	277	0	8	21
R0[8,22]	1.292 	2.890E-4 	-	0.561	1.000	1.000	278	0	8	22
R0[8,23]	1.046 	4.593E-4 	-	0.627	1.000	1.000	279	0	8	23
R0[8,24]	-0.000 	4.826E-3 	gn	184.560	1.000	1.000	280	0	8	24
R0[8,25]	0.943 	4.265E-4 	-	0.624	1.000	1.000	281	0	8	25
R0[8,26]	-0.000 	4.994E-3 	gn	18.821	1.000	1.000	282	0	8	26
R0[9,0]	0.756 	8.999E-7 	n	0.639	1.000	1.000	288	0	9	0
R0[9,1]	0.224 	3.064E-3 	g	1.049	1.000	1.000	289	0	9	1
R0[9,2]	0.772 	5.277E-4 	-	0.820	1.000	1.000	290	0	9	2
R0[9,3]	0.812 	5.967E-4 	-	0.808	1.000	1.000	291	0	9	3
R0[9,4]	0.911 	4.925E-4 	-	0.744	1.000	1.000	292	0	9	4
R0[9,5]	0.738 	6.752E-4 	-	0.567	1.000	1.000	293	0	9	5
R0[9,7]	0.938 	4.347E-4 	-	0.730	1.000	1.000	295	0	9	7
R0[9,8]	0.964 	3.094E-4 	-	0.721	1.000	1.000	296	0	9	8
R0[9,9]	0.975 	3.909E-4 	-	0.705	1.000	1.000	297	0	9	9
R0[9,10]	1.035 	4.760E-4 	-	0.666	1.000	1.000	298	0	9	10
R0[9,11]	1.039 	3.900E-4 	-	0.659	1.000	1.000	299	0	9	11
R0[9,12]	1.028 	4.136E-4 	-	0.681	1.000	1.000	300	0	9	12
R0[9,13]	1.007 	4.581E-4 	-	0.670	1.000	1.000	301	0	9	13
R0[9,14]	1.048 	4.242E-4 	-	0.658	1.000	1.000	302	0	9	14
R0[9,15]	1.069 	3.910E-4 	-	0.658	1.000	1.000	303	0	9	15
R0[9,16]	1.123 	3.568E-4 	-	0.636	1.000	1.000	304	0	9	16
R0[9,17]	0.002 	9.866E-3 	gn	-1.817	1.000	1.000	305	0	9	17
R0[9,18]	0.984 	5.150E-4 	-	0.641	1.000	1.000	306	0	9	18
R0[9,19]	1.077 	3.842E-4 	-	0.632	1.000	1.000	307	0	9	19
R0[9,21]	-0.001 	3.010E-3 	gn	7.516	1.000	1.000	309	0	9	21
R0[9,22]	0.002 	6.368E-3 	gn	-1.240	1.000	1.000	310	0	9	22
R0[9,23]	1.032 	4.763E-4 	-	0.653	1.000	1.000	311	0	9	23
R0[9,24]	-0.000 	4.806E-3 	gn	66.412	1.000	1.000	312	0	9	24
R0[9,25]	1.034 	1.801E-4 	-	0.604	1.000	1.000	313	0	9	25
R0[9,26]	1.022 	3.742E-4 	-	0.651	1.000	1.000	314	0	9	26
R0[10,0]	0.778 	5.288E-4 	-	0.831	1.000	1.000	320	0	10	0
R0[10,1]	0.731 	7.301E-4 	-	0.817	1.000	1.000	321	0	10	1
R0[10,2]	0.700 	7.716E-4 	-	0.823	1.000	1.000	322	0	10	2
R0[10,3]	0.723 	7.453E-4 	-	0.801	1.000	1.000	323	0	10	3
R0[10,4]	0.874 	3.682E-4 	-	0.671	1.000	1.000	324	0	10	4
R0[10,5]	0.789 	6.981E-4 	-	0.773	1.000	1.000	325	0	10	5
R0[10,7]	0.852 	6.544E-5 	-	0.770	1.000	1.000	327	0	10	7
R0[10,8]	0.871 	5.485E-4 	-	0.724	1.000	1.000	328	0	10	8
R0[10,9]	0.847 	6.279E-4 	-	0.726	1.000	1.000	329	0	10	9
R0[10,10]	0.866 	3.052E-4 	-	0.700	1.000	1.000	330	0	10	10
R0[10,11]	0.904 	4.981E-4 	-	0.677	1.000	1.000	331	0	10	11
R0[10,12]	0.932 	5.280E-4 	-	0.684	1.000	1.000	332	0	10	12
R0[10,13]	0.937 	3.062E-4 	-	0.669	1.000	1.000	333	0	10	13
R0[10,14]	0.973 	5.169E-4 	-	0.649	1.000	1.000	334	0	10	14
R0[10,15]	1.021 	4.655E-4 	-	0.650	1.000	1.000	335	0	10	15
R0[10,16]	1.015 	4.082E-4 	-	0.662	1.000	1.000	336	0	10	16
R0[10,17]	0.978 	4.839E-4 	-	0.645	1.000	1.000	337	0	10	17
R0[10,18]	0.949 	5.297E-4 	-	0.635	1.000	1.000	338	0	10	18
R0[10,19]	0.954 	4.990E-4 	-	0.622	1.000	1.000	339	0	10	19
R0[10,21]	0.950 	5.242E-4 	-	0.619	1.000	1.000	341	0	10	21
R0[10,22]	0.895 	5.641E-4 	-	0.674	1.000	1.000	342	0	10	22
R0[10,23]	0.919 	4.960E-4 	-	0.651	1.000	1.000	343	0	10	23
R0[10,24]	-0.000 	4.811E-3 	gn	316.922	1.000	1.000	344	0	10	24
R0[10,25]	0.911 	5.744E-4 	-	0.651	1.000	1.000	345	0	10	25
R0[10,26]	0.919 	5.213E-4 	-	0.664	1.000	1.000	346	0	10	26
R0[11,0]	0.675 	7.380E-4 	-	0.868	1.000	1.000	352	0	11	0
R0[11,1]	0.672 	7.261E-4 	-	0.860	1.000	1.000	353	0	11	1
