# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_81-054
# Object: omc1_c
# Date: 2016-12-03T08:02:22.570 (MJD: 57725.33578418981)
# Project: 88_0005_81
# Exposure: 38.376 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 131d47m40.32s 39d58m09.99s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[2,25]	0.000 	4.980E-3 	gn	-22.426	1.000	1.000	89	0	2	25
R0[2,26]	0.000 	6.244E-3 	gn	-41.594	1.000	1.000	90	0	2	26
R0[3,0]	0.641 	2.452E-3 	-	0.581	1.000	1.000	96	0	3	0
R0[3,1]	0.703 	2.222E-3 	-	0.635	1.000	1.000	97	0	3	1
R0[3,2]	0.723 	1.506E-3 	-	0.666	1.000	1.000	98	0	3	2
R0[3,3]	0.811 	1.382E-3 	-	0.670	1.000	1.000	99	0	3	3
R0[3,4]	0.001 	1.454E-2 	gn	9.141	1.000	1.000	100	0	3	4
R0[3,5]	0.917 	1.040E-3 	-	0.758	1.000	1.000	101	0	3	5
R0[3,7]	0.953 	9.783E-4 	-	0.772	1.000	1.000	103	0	3	7
R0[3,8]	0.970 	1.135E-3 	-	0.783	1.000	1.000	104	0	3	8
R0[3,9]	1.019 	1.113E-3 	-	0.741	1.000	1.000	105	0	3	9
R0[3,10]	1.568 	6.080E-4 	-	0.627	1.000	1.000	106	0	3	10
R0[3,11]	1.049 	1.091E-3 	-	0.755	1.000	1.000	107	0	3	11
R0[3,12]	1.035 	1.192E-3 	-	0.726	1.000	1.000	108	0	3	12
R0[3,13]	1.026 	1.277E-3 	-	0.741	1.000	1.000	109	0	3	13
R0[3,14]	1.067 	9.437E-4 	-	0.729	1.000	1.000	110	0	3	14
R0[3,15]	1.083 	9.974E-4 	-	0.722	1.000	1.000	111	0	3	15
R0[3,16]	0.000 	8.013E-3 	gn	-18.135	1.000	1.000	112	0	3	16
R0[3,17]	0.002 	1.254E-2 	gn	-2.522	1.000	1.000	113	0	3	17
R0[3,18]	1.106 	5.165E-4 	-	0.684	1.000	1.000	114	0	3	18
R0[3,19]	1.111 	6.953E-4 	-	0.713	1.000	1.000	115	0	3	19
R0[3,21]	1.064 	9.122E-4 	-	0.678	1.000	1.000	117	0	3	21
R0[3,22]	0.003 	8.908E-3 	gn	-0.754	1.000	1.000	118	0	3	22
R0[3,23]	1.070 	9.322E-4 	-	0.671	1.000	1.000	119	0	3	23
R0[3,24]	0.000 	4.918E-3 	gn	-19.824	1.000	1.000	120	0	3	24
R0[3,25]	1.070 	7.777E-4 	-	0.651	1.000	1.000	121	0	3	25
R0[3,26]	1.024 	8.275E-4 	-	0.662	1.000	1.000	122	0	3	26
R0[4,0]	0.616 	2.796E-3 	-	0.609	1.000	1.000	128	0	4	0
R0[4,1]	0.605 	3.348E-3 	-	0.644	1.000	1.000	129	0	4	1
R0[4,2]	0.595 	2.901E-3 	-	0.720	1.000	1.000	130	0	4	2
R0[4,3]	0.617 	2.790E-3 	-	0.769	1.000	1.000	131	0	4	3
R0[4,4]	0.723 	1.803E-3 	-	0.751	1.000	1.000	132	0	4	4
R0[4,5]	0.737 	1.644E-3 	-	0.798	1.000	1.000	133	0	4	5
R0[4,7]	1.059 	1.051E-3 	-	0.651	1.000	1.000	135	0	4	7
R0[4,8]	0.004 	1.376E-2 	gn	0.762	1.000	1.000	136	0	4	8
R0[4,9]	0.843 	1.307E-3 	-	0.743	1.000	1.000	137	0	4	9
R0[4,10]	0.829 	1.611E-3 	-	0.679	1.000	1.000	138	0	4	10
R0[4,11]	-0.000 	5.941E-3 	gn	-12.781	1.000	1.000	139	0	4	11
R0[4,12]	0.891 	9.612E-4 	-	0.665	1.000	1.000	140	0	4	12
R0[4,13]	0.875 	1.224E-3 	-	0.700	1.000	1.000	141	0	4	13
R0[4,14]	0.870 	1.614E-3 	-	0.692	1.000	1.000	142	0	4	14
R0[4,15]	1.141 	1.350E-3 	-	0.591	1.000	1.000	143	0	4	15
R0[4,16]	0.947 	1.543E-3 	-	0.660	1.000	1.000	144	0	4	16
R0[4,17]	0.925 	1.551E-3 	-	0.657	1.000	1.000	145	0	4	17
R0[4,18]	0.955 	1.009E-3 	-	0.625	1.000	1.000	146	0	4	18
R0[4,19]	0.003 	5.272E-3 	gn	-2.079	1.000	1.000	147	0	4	19
R0[4,21]	0.055 	7.188E-3 	gn	0.540	1.000	1.000	149	0	4	21
