# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-25_HA_F445-90_0086_13-120
# Object: W3
# Date: 2017-10-25T09:39:05.620 (MJD: 58051.40294912037)
# Project: 90_0086_13
# Exposure: 82.91676 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: -08d05m04.29s 55d47m09.26s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[3,14]	0.994 	2.571E-4 	-	0.735	1.000	1.000	110	0	3	14
R0[3,15]	1.047 	3.139E-4 	-	0.742	1.000	1.000	111	0	3	15
R0[3,16]	0.002 	9.139E-4 	gn	-3.694	1.000	1.000	112	0	3	16
R0[3,17]	0.002 	9.173E-4 	gn	-2.236	1.000	1.000	113	0	3	17
R0[3,18]	1.079 	1.527E-4 	-	0.703	1.000	1.000	114	0	3	18
R0[3,19]	1.088 	2.491E-4 	-	0.684	1.000	1.000	115	0	3	19
R0[3,21]	1.057 	2.741E-4 	-	0.697	1.000	1.000	117	0	3	21
R0[3,22]	0.002 	8.907E-4 	gn	2.061	1.000	1.000	118	0	3	22
R0[3,23]	1.066 	2.666E-4 	-	0.674	1.000	1.000	119	0	3	23
R0[3,24]	0.000 	1.263E-3 	gn	9.935	1.000	1.000	120	0	3	24
R0[3,25]	1.036 	2.439E-4 	-	0.666	1.000	1.000	121	0	3	25
R0[3,26]	1.021 	2.925E-4 	-	0.686	1.000	1.000	122	0	3	26
R0[3,28]	0.814 	3.152E-4 	-	0.796	1.000	1.000	124	0	3	28
R0[3,29]	0.899 	2.513E-4 	-	0.741	1.000	1.000	125	0	3	29
R0[3,30]	0.828 	3.253E-4 	-	0.783	1.000	1.000	126	0	3	30
R0[3,31]	0.654 	4.978E-4 	-	0.899	1.000	1.000	127	0	3	31
R0[4,0]	0.594 	6.261E-4 	-	0.570	1.000	1.000	128	0	4	0
R0[4,1]	0.605 	6.410E-4 	-	0.605	1.000	1.000	129	0	4	1
R0[4,2]	0.657 	5.067E-4 	-	0.642	1.000	1.000	130	0	4	2
R0[4,3]	0.601 	7.335E-4 	-	0.721	1.000	1.000	131	0	4	3
R0[4,4]	0.680 	5.347E-4 	-	0.745	1.000	1.000	132	0	4	4
R0[4,5]	0.777 	5.805E-4 	-	0.729	1.000	1.000	133	0	4	5
R0[4,7]	1.017 	2.694E-4 	-	0.637	1.000	1.000	135	0	4	7
R0[4,8]	0.004 	8.088E-4 	gn	-4.498	1.000	1.000	136	0	4	8
R0[4,9]	0.831 	4.340E-4 	-	0.737	1.000	1.000	137	0	4	9
R0[4,10]	0.817 	5.374E-4 	-	0.749	1.000	1.000	138	0	4	10
R0[4,11]	0.003 	7.818E-4 	gn	-6.644	1.000	1.000	139	0	4	11
R0[4,12]	0.853 	1.844E-4 	-	0.700	1.000	1.000	140	0	4	12
R0[4,13]	0.834 	4.031E-4 	-	0.727	1.000	1.000	141	0	4	13
R0[4,14]	0.846 	4.509E-4 	-	0.708	1.000	1.000	142	0	4	14
R0[4,15]	1.093 	3.285E-4 	-	0.607	1.000	1.000	143	0	4	15
R0[4,16]	0.930 	3.526E-4 	-	0.684	1.000	1.000	144	0	4	16
R0[4,17]	0.883 	4.123E-4 	-	0.666	1.000	1.000	145	0	4	17
R0[4,18]	0.930 	3.982E-4 	-	0.665	1.000	1.000	146	0	4	18
R0[4,19]	0.002 	4.236E-4 	gn	-0.394	1.000	1.000	147	0	4	19
R0[4,21]	0.073 	8.831E-4 	gn	0.823	1.000	1.000	149	0	4	21
R0[4,22]	0.836 	4.538E-4 	-	0.653	1.000	1.000	150	0	4	22
R0[4,23]	0.940 	2.686E-4 	-	0.658	1.000	1.000	151	0	4	23
