# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_82-062
# Object: omc1_c
# Date: 2016-12-03T08:21:01.970 (MJD: 57725.348740208334)
# Project: 88_0005_82
# Exposure: 29.962799999999998 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 133d29m39.79s 42d43m03.84s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[3,4]	0.002 	8.787E-3 	gn	-8.118	1.000	1.000	100	0	3	4
R0[3,5]	0.833 	1.970E-3 	-	0.251	1.000	1.000	101	0	3	5
R0[3,7]	0.920 	1.629E-3 	-	0.477	1.000	1.000	103	0	3	7
R0[3,8]	0.953 	2.144E-3 	-	0.531	1.000	1.000	104	0	3	8
R0[3,9]	0.986 	2.597E-3 	-	0.592	1.000	1.000	105	0	3	9
R0[3,10]	1.516 	9.419E-4 	-	0.567	1.000	1.000	106	0	3	10
R0[3,11]	1.023 	2.136E-3 	-	0.659	1.000	1.000	107	0	3	11
R0[3,12]	1.045 	1.707E-3 	-	0.672	1.000	1.000	108	0	3	12
R0[3,13]	1.013 	1.146E-3 	-	0.719	1.000	1.000	109	0	3	13
R0[3,14]	1.055 	1.081E-3 	-	0.671	1.000	1.000	110	0	3	14
R0[3,15]	1.098 	1.498E-3 	-	0.657	1.000	1.000	111	0	3	15
R0[3,16]	0.000 	2.130E-2 	gn	-58.350	1.000	1.000	112	0	3	16
R0[3,17]	0.001 	2.281E-2 	gn	-15.531	1.000	1.000	113	0	3	17
R0[3,18]	1.093 	5.797E-4 	-	0.672	1.000	1.000	114	0	3	18
R0[3,19]	1.104 	1.271E-3 	-	0.676	1.000	1.000	115	0	3	19
R0[3,21]	1.044 	1.797E-3 	-	0.674	1.000	1.000	117	0	3	21
R0[3,22]	0.001 	2.421E-2 	gn	-13.507	1.000	1.000	118	0	3	22
R0[3,23]	1.067 	1.767E-3 	-	0.677	1.000	1.000	119	0	3	23
R0[3,24]	-0.000 	1.400E-2 	gn	42.372	1.000	1.000	120	0	3	24
R0[3,25]	1.065 	1.469E-3 	-	0.682	1.000	1.000	121	0	3	25
R0[3,26]	1.017 	1.857E-3 	-	0.701	1.000	1.000	122	0	3	26
R0[4,0]	0.630 	1.086E-3 	B	0.024	1.000	1.000	128	0	4	0
R0[4,1]	0.614 	1.816E-3 	B	0.014	1.000	1.000	129	0	4	1
R0[4,2]	0.610 	1.763E-3 	B	0.012	1.000	1.000	130	0	4	2
R0[4,3]	0.608 	1.953E-3 	B	0.009	1.000	1.000	131	0	4	3
R0[4,4]	0.703 	1.144E-3 	B	0.053	1.000	1.000	132	0	4	4
R0[4,5]	0.769 	3.091E-3 	-	0.275	1.000	1.000	133	0	4	5
R0[4,7]	1.149 	1.337E-3 	-	0.422	1.000	1.000	135	0	4	7
R0[4,8]	0.002 	1.405E-2 	gn	-4.123	1.000	1.000	136	0	4	8
R0[4,9]	0.933 	1.672E-3 	-	0.625	1.000	1.000	137	0	4	9
R0[4,10]	0.920 	1.524E-3 	-	0.651	1.000	1.000	138	0	4	10
R0[4,11]	0.001 	1.627E-2 	gn	-15.312	1.000	1.000	139	0	4	11
