Date(YearMonth):,,1402,,,,,1411,,,,,1502,,,,,1509,,,,,1602,,,,,1606,,,,
Parameters,,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130
,11,952534.679982789000000000000000000000,953245.945863932000000000000000000000,1074561.320857160000000000000000000000,1074469.650635980000000000000000000000,,953278.133147885000000000000000000000,953358.812262454000000000000000000000,1075001.898643140000000000000000000000,1074936.315714660000000000000000000000,,953084.153378791000000000000000000000,953169.710921329000000000000000000000,1074640.340104630000000000000000000000,1074543.291266920000000000000000000000,,952953.339510975000000000000000000000,953296.471278261000000000000000000000,1075164.334313990000000000000000000000,1075090.342098590000000000000000000000,,953397.826177389000000000000000000000,953668.954029149000000000000000000000,1075176.014507610000000000000000000000,1075068.671228730000000000000000000000,1075166.942023550000000000000000000000,953423.933084360000000000000000000000,953833.665060406000000000000000000000,1075269.150290980000000000000000000000,1075255.678342900000000000000000000000,1075166.942023550000000000000000000000
,12,952523.578483825000000000000000000000,953212.716414029000000000000000000000,1074447.428286120000000000000000000000,1074418.768202370000000000000000000000,,953262.284566556000000000000000000000,953356.157544015000000000000000000000,1074907.672841910000000000000000000000,1074892.034557900000000000000000000000,,953064.107058100000000000000000000000,953167.838486165000000000000000000000,1074588.053272270000000000000000000000,1074534.500910610000000000000000000000,,952949.224003733000000000000000000000,953284.778002768000000000000000000000,1075036.398537600000000000000000000000,1075022.606037380000000000000000000000,,953395.403372513000000000000000000000,953682.980536126000000000000000000000,1075005.011866300000000000000000000000,1074927.376600870000000000000000000000,1075151.328666810000000000000000000000,953416.290775649000000000000000000000,953818.200040720000000000000000000000,1075130.444469550000000000000000000000,1075170.929275420000000000000000000000,1075151.328666810000000000000000000000
,13,952541.146873971000000000000000000000,953220.152376056000000000000000000000,1074416.691046960000000000000000000000,1074400.711780470000000000000000000000,,953286.508506091000000000000000000000,953378.471561751000000000000000000000,1074868.241064550000000000000000000000,1074868.950207150000000000000000000000,,953084.483690013000000000000000000000,953188.666774546000000000000000000000,1074565.046196160000000000000000000000,1074507.250148680000000000000000000000,,952964.588243977000000000000000000000,953303.082941083000000000000000000000,1074984.742060550000000000000000000000,1074999.836009260000000000000000000000,,953385.428465328000000000000000000000,953670.019346352000000000000000000000,1074953.152969370000000000000000000000,1074961.274492360000000000000000000000,1075209.932408740000000000000000000000,953430.064874982000000000000000000000,953832.492466583000000000000000000000,1075081.731112990000000000000000000000,1075149.986803300000000000000000000000,1075209.932408740000000000000000000000
,14,952560.057093542000000000000000000000,953247.720266857000000000000000000000,1074433.554017030000000000000000000000,1074412.377596790000000000000000000000,,953309.431984854000000000000000000000,953408.788372111000000000000000000000,1074887.942589650000000000000000000000,1074881.449239900000000000000000000000,,953103.176818042000000000000000000000,953215.911727243000000000000000000000,1074568.912350920000000000000000000000,1074503.838613690000000000000000000000,,952989.017435340000000000000000000000,953330.623635420000000000000000000000,1075002.278432060000000000000000000000,1075009.962405820000000000000000000000,,953374.178680164000000000000000000000,953693.866029150000000000000000000000,1074971.841848000000000000000000000000,1075031.366767360000000000000000000000,1075366.231090760000000000000000000000,953446.107801752000000000000000000000,953857.096259517000000000000000000000,1075102.735976710000000000000000000000,1075163.379100510000000000000000000000,1075366.231090760000000000000000000000
,15,952708.523978768000000000000000000000,953353.250527959000000000000000000000,1074284.041750380000000000000000000000,1074204.759064710000000000000000000000,,953552.328296014000000000000000000000,953598.979708506000000000000000000000,1074704.825781480000000000000000000000,1074643.241065840000000000000000000000,,953362.307393190000000000000000000000,953410.729470630000000000000000000000,1074306.886386820000000000000000000000,1074226.450909320000000000000000000000,,953231.005168427000000000000000000000,953515.380564242000000000000000000000,1074821.768536740000000000000000000000,1074767.217997660000000000000000000000,,953617.881409100000000000000000000000,953888.137116992000000000000000000000,1074831.676984080000000000000000000000,1074817.307669040000000000000000000000,1075149.883254120000000000000000000000,953653.977343170000000000000000000000,954014.880821145000000000000000000000,1074928.932312730000000000000000000000,1074951.752169480000000000000000000000,1075149.883254120000000000000000000000
,16,952794.172286405000000000000000000000,953495.333221897000000000000000000000,1074582.772607330000000000000000000000,1074490.733298130000000000000000000000,,953500.807517580000000000000000000000,953568.384301922000000000000000000000,1075024.552516270000000000000000000000,1074963.808906900000000000000000000000,,953317.834788153000000000000000000000,953381.493009143000000000000000000000,1074668.151788130000000000000000000000,1074579.535452300000000000000000000000,,953177.218327564000000000000000000000,953512.496783352000000000000000000000,1075168.904070900000000000000000000000,1075099.694075780000000000000000000000,,953612.320483930000000000000000000000,953885.998612341000000000000000000000,1075165.248093720000000000000000000000,1075127.559355280000000000000000000000,1075221.374446570000000000000000000000,953663.243410759000000000000000000000,954065.224130828000000000000000000000,1075255.637229430000000000000000000000,1075264.994919180000000000000000000000,1075221.374446570000000000000000000000
,17,952681.609417909000000000000000000000,953369.777782117000000000000000000000,1074452.341572830000000000000000000000,1074420.936003690000000000000000000000,,953396.465698227000000000000000000000,953474.326363985000000000000000000000,1074909.562642300000000000000000000000,1074897.218382950000000000000000000000,,953208.864369173000000000000000000000,953281.753184482000000000000000000000,1074605.024083400000000000000000000000,1074548.428545810000000000000000000000,,953073.298087419000000000000000000000,953392.866975797000000000000000000000,1075026.482611000000000000000000000000,1075017.689457840000000000000000000000,,953495.873957759000000000000000000000,953755.700620763000000000000000000000,1074981.015790510000000000000000000000,1074993.416982370000000000000000000000,1075075.520392270000000000000000000000,953554.068978854000000000000000000000,953957.511812934000000000000000000000,1075107.773806450000000000000000000000,1075169.398568670000000000000000000000,1075075.520392270000000000000000000000
,18,952620.158699996000000000000000000000,953307.292778066000000000000000000000,1074423.108980030000000000000000000000,1074404.640189930000000000000000000000,,953339.734089177000000000000000000000,953404.530747691000000000000000000000,1074885.493246060000000000000000000000,1074875.727893670000000000000000000000,,953147.092851682000000000000000000000,953205.569349082000000000000000000000,1074577.867262100000000000000000000000,1074520.277559540000000000000000000000,,953013.190079257000000000000000000000,953355.284506406000000000000000000000,1074997.944576470000000000000000000000,1074996.912988480000000000000000000000,,953347.938222240000000000000000000000,953666.163778618000000000000000000000,1074951.362831850000000000000000000000,1074952.351239310000000000000000000000,1075249.427015480000000000000000000000,953496.148575137000000000000000000000,953900.399478188000000000000000000000,1075081.659322330000000000000000000000,1075148.692284970000000000000000000000,1075249.427015480000000000000000000000
,19,952546.347643704000000000000000000000,953253.639899358000000000000000000000,1074420.236405860000000000000000000000,1074378.558512840000000000000000000000,,953287.163389539000000000000000000000,953364.151170888000000000000000000000,1074876.355703140000000000000000000000,1074842.819941150000000000000000000000,,953094.199720727000000000000000000000,953169.211207209000000000000000000000,1074566.658594870000000000000000000000,1074477.979747000000000000000000000000,,952962.546811992000000000000000000000,953308.310989711000000000000000000000,1074989.127160870000000000000000000000,1074968.002666020000000000000000000000,,953333.912685183000000000000000000000,953663.720492962000000000000000000000,1074943.140754780000000000000000000000,1074986.150296110000000000000000000000,1075306.210241480000000000000000000000,953429.949184834000000000000000000000,953842.529264370000000000000000000000,1075074.459618850000000000000000000000,1075119.583038330000000000000000000000,1075306.210241480000000000000000000000
,20,952691.149629353000000000000000000000,953347.912019374000000000000000000000,1074250.612107570000000000000000000000,1074169.556787660000000000000000000000,,953563.721932250000000000000000000000,953592.275507290000000000000000000000,1074684.369063680000000000000000000000,1074616.603904760000000000000000000000,,953377.286629223000000000000000000000,953395.752301642000000000000000000000,1074313.040666100000000000000000000000,1074229.097572930000000000000000000000,,953245.817395614000000000000000000000,953518.928379377000000000000000000000,1074794.816559020000000000000000000000,1074721.676295160000000000000000000000,,953633.298561084000000000000000000000,953893.178000010000000000000000000000,1074792.180013440000000000000000000000,1074802.740189570000000000000000000000,1075066.711414640000000000000000000000,953659.791544276000000000000000000000,954013.521862552000000000000000000000,1074891.654851450000000000000000000000,1074901.834794520000000000000000000000,1075066.711414640000000000000000000000
