Date(YearMonth):,,1402,,,,,1411,,,,,1502,,,,,1509,,,,,1602,,,,,1606,,,,,1610,,,,,1702,,,,,1706,,,,
Parameters,,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130
,13,952541.1469,953220.1524,1074416.691,1074400.712,1074400.712,953286.5085,953378.4716,1074868.241,1074868.95,1074868.95,953084.4837,953188.6668,1074565.046,1074507.25,1074507.25,952964.5882,953303.0829,1074984.742,1074999.836,1074999.836,953385.4285,953670.0193,1074953.153,1074961.274,1074961.274,953430.0649,953832.4925,1075081.731,1075149.987,1075149.987,1149614.211,1150160.765,1074847.705,1075149.987,1075149.987,1149477.854,1149786.833,1074936.335,1075032.301,1075032.301,1149384.682,1149727.167,1075023.908,1075094.638,1075094.638
,14,952560.0571,953247.7203,1074433.554,1074412.378,1074412.378,953309.432,953408.7884,1074887.943,1074881.449,1074881.449,953103.1768,953215.9117,1074568.912,1074503.839,1074503.839,952989.0174,953330.6236,1075002.278,1075009.962,1075009.962,953374.1787,953693.866,1074971.842,1075031.367,1075031.367,953446.1078,953857.0963,1075102.736,1075163.379,1075163.379,1149634.461,1150195.287,1074848.321,1075163.379,1075163.379,1149498.916,1149815.211,1074947.538,1075037.276,1075037.276,1149401.986,1149751.699,1075044.312,1075109.032,1075109.032
,15,952708.524,953353.2505,1074284.042,1074204.759,1074204.759,953552.3283,953598.9797,1074704.826,1074643.241,1074643.241,953362.3074,953410.7295,1074306.886,1074226.451,1074226.451,953231.0052,953515.3806,1074821.769,1074767.218,1074767.218,953617.8814,953888.1371,1074831.677,1074817.308,1074817.308,953653.9773,954014.8808,1074928.932,1074951.752,1074951.752,1149887.401,1150348.645,1074608.651,1074951.752,1074951.752,1149733.364,1149992.79,1074710.821,1074767.654,1074767.654,1149603.962,1149907.474,1074915.993,1074959.14,1074959.14
,16,952794.1723,953495.3332,1074582.773,1074490.733,1074490.733,953500.8075,953568.3843,1075024.553,1074963.809,1074963.809,953317.8348,953381.493,1074668.152,1074579.535,1074579.535,953177.2183,953512.4968,1075168.904,1075099.694,1075099.694,953612.3205,953885.9986,1075165.248,1075127.559,1075127.559,953663.2434,954065.2241,1075255.637,1075264.995,1075264.995,1149826.197,1150349.75,1074965.144,1075264.995,1075264.995,1149712.047,1150011.496,1075067.222,1075105.003,1075105.003,1149619.464,1149959.006,1075235.293,1075230.74,1075230.74
,17,952681.6094,953369.7778,1074452.342,1074420.936,1074420.936,953396.4657,953474.3264,1074909.563,1074897.218,1074897.218,953208.8644,953281.7532,1074605.024,1074548.429,1074548.429,953073.2981,953392.867,1075026.483,1075017.689,1075017.689,953495.874,953755.7006,1074981.016,1074993.417,1074993.417,953554.069,953957.5118,1075107.774,1075169.399,1075169.399,1149719.327,1150246.595,1074851.883,1075169.399,1075169.399,1149598.735,1149901.594,1074950.846,1075035.825,1075035.825,1149509.68,1149848.187,1075050.065,1075095.191,1075095.191
,18,952620.1587,953307.2928,1074423.109,1074404.64,1074404.64,953339.7341,953404.5307,1074885.493,1074875.728,1074875.728,953147.0929,953205.5693,1074577.867,1074520.278,1074520.278,953013.1901,953355.2845,1074997.945,1074996.913,1074996.913,953347.9382,953666.1638,1074951.363,1074952.351,1074952.351,953496.1486,953900.3995,1075081.659,1075148.692,1075148.692,1149662.228,1150189.859,1074824.684,1075148.692,1075148.692,1149541.713,1149849.893,1074929.449,1075016.233,1075016.233,1149449.773,1149792.762,1075020.051,1075078.742,1075078.742
,19,952546.3476,953253.6399,1074420.236,1074378.559,1074378.559,953287.1634,953364.1512,1074876.356,1074842.82,1074842.82,953094.1997,953169.2112,1074566.659,1074477.98,1074477.98,952962.5468,953308.311,1074989.127,1074968.003,1074968.003,953333.9127,953663.7205,1074943.141,1074986.15,1074986.15,953429.9492,953842.5293,1075074.46,1075119.583,1075119.583,1149604.52,1150146.067,1074807.857,1075119.583,1075119.583,1149484.676,1149800.102,1074977.244,1074986.628,1074986.628,1149382.976,1149735.423,1075007.757,1075051.851,1075051.851
,20,952691.1496,953347.912,1074250.612,1074169.557,1074169.557,953563.7219,953592.2755,1074684.369,1074616.604,1074616.604,953377.2866,953395.7523,1074313.041,1074229.098,1074229.098,953245.8174,953518.9284,1074794.817,1074721.676,1074721.676,953633.2986,953893.178,1074792.18,1074802.74,1074802.74,953659.7915,954013.5219,1074891.655,1074901.835,1074901.835,1149914.96,1150353.103,1074567.275,1074901.835,1074901.835,1149746.22,1149999.843,1074685.714,1074717.907,1074717.907,1149601.308,1149900.641,1074877.948,1074891.346,1074891.346
,21,953506.2021,954162.0876,1074883.872,1074775.481,1074775.481,954196.2914,954224.7565,1075345.853,1075259.83,1075259.83,954027.1936,954022.554,1074971.231,1074885.235,1074885.235,953866.6125,954204.4012,1075468.359,1075386.248,1075386.248,954222.1468,954586.5554,1075430.309,1075422.459,1075422.459,954361.9579,954769.1335,1075521.843,1075548.196,1075548.196,1150528.031,1151011.655,1075151.393,1075548.196,1075548.196,1150418.359,1150712.161,1075350.495,1075371.256,1075371.256,1150323.297,1150663.115,1075493.492,1075494.427,1075494.427
,22,953339.0331,953993.8085,1074725.013,1074665.034,1074665.034,954025.3455,954066.0046,1075197.096,1075155.328,1075155.328,953856.6778,953871.4207,1074873.536,1074826.724,1074826.724,953699.8763,954037.2583,1075293.724,1075261.091,1075261.091,954073.6107,954411.4116,1075222.702,1075264.318,1075264.318,954195.8476,954600.7832,1075342.495,1075407.95,1075407.95,1150361.887,1150854.504,1075022.935,1075407.95,1075407.95,1150255.832,1150547.807,1075206.478,1075260.086,1075260.086,1150158.105,1150493.102,1075289.112,1075308.103,1075308.103
,23,953181.6131,953851.6959,1074657.558,1074608.426,1074608.426,953874.7151,953931.4157,1075129.279,1075098.235,1075098.235,953700.3351,953734.8748,1074813.096,1074755.77,1074755.77,953547.6353,953890.2664,1075225.507,1075206.945,1075206.945,953837.4741,954258.3082,1075158.307,1075207.917,1075207.917,954054.1015,954451.25,1075277.606,1075350.977,1075350.977,1150202.002,1150706.113,1074971.85,1075350.977,1075350.977,1150093.06,1150394.999,1075141.926,1075200.484,1075200.484,1150002.783,1150342.215,1075214.598,1075255.542,1075255.542
,24,953033.506,953723.8528,1074638.094,1074587.027,1074587.027,953763.4928,953817.5343,1075112.761,1075069.054,1075069.054,953583.9112,953614.7721,1074788.2,1074719.106,1074719.106,953435.2662,953777.7439,1075203.544,1075181.471,1075181.471,953799.0842,954150.5333,1075138.416,1075186.404,1075186.404,953907.6262,954323.2343,1075259.866,1075328.958,1075328.958,1150078.23,1150598.838,1074950.939,1075328.958,1075328.958,1149970.494,1150275.437,1075115.251,1075177.988,1075177.988,1149866.893,1150213.81,1075195.263,1075238.643,1075238.643
,25,953165.4828,953792.3958,1074449.851,1074337.782,1074337.782,953997.3764,954006.4332,1074886.155,1074787.822,1074787.822,953818.6964,953810.6481,1074486.197,1074382.037,1074382.037,,,1074987.993,1074893.647,1074893.647,954060.7098,954331.0486,1074969.886,1074970.044,1074970.044,954127.055,954474.2887,1075056.2,1075075.195,1075075.195,1150379.34,1150764.608,1074686.021,1075075.195,1075075.195,1150210.867,1150444.372,1074847.669,1074857.089,1074857.089,1150082.532,1150365.052,1075041.94,1075053.646,1075053.646
