Date(YearMonth):,,1402,,,,1411,,,,1502,,,,1509,,,,1602,,,,1606,,,,1610,,,,1702,,,,1706,,,,1802,,,,1807,,,,1810,,,,1902,,,,1904,,,,1910,,,,2002,,,,2008,,,,2103,,,,2105,,,
Parameters,,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order
,11,952534.68,953245.9459,1074561.321,1074469.651,953278.1331,953358.8123,1075001.899,1074936.316,953084.1534,953169.7109,1074640.34,1074543.291,952953.3395,953296.4713,1075164.334,1075090.342,953397.8262,953668.954,1075176.015,1075068.671,953423.9331,953833.6651,1075269.15,1075255.678,1149603.017,1150147.247,1074978.418,1075255.678,1149466.875,1149781.759,1075072.323,1075096.619,1149376.825,1149726.611,1075262.333,1075241.685,1149522.681,1149969.986,1075102.318,1075048.099,1149344.477,1149656.566,1075034.863,1074978.64,1149546.92,1149838.557,1074780.662,1074740.712,1149287.476,1149605.828,1074746.838,1074710.705,1149920.993,1150266.728,1075117.794,1074978.788,1149746.123,1150018.717,1074976.329,1074923.883,1149999.841,1150265.154,1075087.238,1075026.071,1149779.614,1150134.141,1075096.498,1075088.306,1149693.138,1150043.564,1074970.109,1074878.56,1149563.520,1149922.834,1074691.418,1074481.556
,12,952523.5785,953212.7164,1074447.428,1074418.768,953262.2846,953356.1575,1074907.673,1074892.035,953064.1071,953167.8385,1074588.053,1074534.501,952949.224,953284.778,1075036.399,1075022.606,953395.4034,953682.9805,1075005.012,1074927.377,953416.2908,953818.2,1075130.444,1075170.929,1149595.471,1150146.76,1074891.644,1075170.929,1149463.725,1149771.027,1074971.704,1075044.51,1149369.045,1149710.757,1075079.122,1075116.8,1149517.122,1149958.732,1075009.622,1074994.251,1149340.063,1149644.989,1074927.417,1074912.876,1149542.368,1149823.526,1074638.734,1074641.147,1149282.73,1149592.63,1074611.96,1074617.338,1149919.76,1150258.948,1075019.632,1074923.829,1149740.864,1150004.937,1074921.867,1074890.84,1149994.53,1150250.912,1075028.55,1074992.763,1149773.79,1150118.757,1074962.827,1074994.307,1149686.182,1150029.398,1074754.598,1074702.163,1149554.316,1149909.343,1074596.263,1074439.818
,13,952541.1469,953220.1524,1074416.691,1074400.712,953286.5085,953378.4716,1074868.241,1074868.95,953084.4837,953188.6668,1074565.046,1074507.25,952964.5882,953303.0829,1074984.742,1074999.836,953385.4285,953670.0193,1074953.153,1074961.274,953430.0649,953832.4925,1075081.731,1075149.987,1149614.211,1150160.765,1074847.705,1075149.987,1149477.854,1149786.833,1074936.335,1075032.301,1149384.682,1149727.167,1075023.908,1075094.638,1149533.423,1149980.003,1074979.096,1074972.618,1149356.218,1149664.304,1074885.206,1074887.064,1149557.717,1149844.535,1074592.338,1074612.813,1149298.288,1149613.147,1074567.382,1074594.959,1149933.735,1150277.898,1074989.824,1074905.858,1149755.335,1150025.224,1074892.336,1074873.279,1150010.253,1150271.533,1074997.013,1074971.842,1149789.25,1150140.587,1074915.888,1074968.762,1149702.35,1150051.268,1074699.132,1074668.561,1149570.416,1149929.227,1074546.287,1074417.445
,14,952560.0571,953247.7203,1074433.554,1074412.378,953309.432,953408.7884,1074887.943,1074881.449,953103.1768,953215.9117,1074568.912,1074503.839,952989.0174,953330.6236,1075002.278,1075009.962,953374.1787,953693.866,1074971.842,1075031.367,953446.1078,953857.0963,1075102.736,1075163.379,1149634.461,1150195.287,1074848.321,1075163.379,1149498.916,1149815.211,1074947.538,1075037.276,1149401.986,1149751.699,1075044.312,1075109.032,1149547.375,1150001.016,1074989.585,1074987.313,1149370.24,1149682.421,1074904.497,1074904.965,1149573.384,1149865.052,1074612.672,1074635.664,1149313.459,1149633.055,1074585.632,1074613.413,1149949.333,1150300.017,1075010.045,1074910.693,1149770.626,1150045.379,1074889.718,1074867.784,1150024.405,1150291.478,1074998.712,1074969.673,1149802.593,1150160.973,1074934.353,1074984.163,1149716.219,1150070.621,1074717.426,1074687.031,1149584.299,1149943.991,1074553.855,1074415.754
,15,952708.524,953353.2505,1074284.042,1074204.759,953552.3283,953598.9797,1074704.826,1074643.241,953362.3074,953410.7295,1074306.886,1074226.451,953231.0052,953515.3806,1074821.769,1074767.218,953617.8814,953888.1371,1074831.677,1074817.308,953653.9773,954014.8808,1074928.932,1074951.752,1149887.401,1150348.645,1074608.651,1074951.752,1149733.364,1149992.79,1074710.821,1074767.654,1149603.962,1149907.474,1074915.993,1074959.14,1149722.547,1150149.713,1074775.74,1074718.28,1149532.137,1149810.971,1074714.342,1074660.001,1149732.711,1149993.698,1074478.93,1074446.366,1149466.47,1149754.4,1074429.563,1074402.165,1150068.841,1150397.698,1074814.32,1074627.981,1149923.408,1150166.19,1074623.796,1074555.205,1150175.604,1150412.032,1074741.326,1074659.128,1149986.71,1150302.788,1074791.633,1074798.5,1149894.079,1150208.589,1074642.589,1074587.066,1149747.752,1150076.884,1074351.081,1074136.767
,16,952794.1723,953495.3332,1074582.773,1074490.733,953500.8075,953568.3843,1075024.553,1074963.809,953317.8348,953381.493,1074668.152,1074579.535,953177.2183,953512.4968,1075168.904,1075099.694,953612.3205,953885.9986,1075165.248,1075127.559,953663.2434,954065.2241,1075255.637,1075264.995,1149826.197,1150349.75,1074965.144,1075264.995,1149712.047,1150011.496,1075067.222,1075105.003,1149619.464,1149959.006,1075235.293,1075230.74,1149782.492,1150199.168,1075098.354,1075066.868,1149598.36,1149911.89,1075012.905,1074988.515,1149797.617,1150084.698,1074761.808,1074754.532,1149544.816,1149858.324,1074719.425,1074718.956,1150192.555,1150532.854,1075076.747,1074981.167,1150004.729,1150264.819,1074980.812,1074943.015,1150257.124,1150518.909,1075085.288,1075043.575,1150031.268,1150370.199,1075066.912,1075090.573,1149946.798,1150280.467,1074931.315,1074882.308,1149825.781,1150158.593,1074663.827,1074480.390
,17,952681.6094,953369.7778,1074452.342,1074420.936,953396.4657,953474.3264,1074909.563,1074897.218,953208.8644,953281.7532,1074605.024,1074548.429,953073.2981,953392.867,1075026.483,1075017.689,953495.874,953755.7006,1074981.016,1074993.417,953554.069,953957.5118,1075107.774,1075169.399,1149719.327,1150246.595,1074851.883,1075169.399,1149598.735,1149901.594,1074950.846,1075035.825,1149509.68,1149848.187,1075050.065,1075095.191,1149671.521,1150092.202,1074999.986,1075008.08,1149490.771,1149799.224,1074912.134,1074918.594,1149691.231,1149975.28,1074620.143,1074652.239,1149435.96,1149747.766,1074586.331,1074618.708,1150088.879,1150426.173,1074980.231,1074924.93,1149895.136,1150154.996,1074916.941,1074906.249,1150145.508,1150405.072,1075019.388,1075004.586,1149918.542,1150258.625,1074931.22,1074990.016,1149832.159,1150168.337,1074729.588,1074697.68,1149705.210,1150049.415,1074568.291,1074423.768
,18,952620.1587,953307.2928,1074423.109,1074404.64,953339.7341,953404.5307,1074885.493,1074875.728,953147.0929,953205.5693,1074577.867,1074520.278,953013.1901,953355.2845,1074997.945,1074996.913,953347.9382,953666.1638,1074951.363,1074952.351,953496.1486,953900.3995,1075081.659,1075148.692,1149662.228,1150189.859,1074824.684,1075148.692,1149541.713,1149849.893,1074929.449,1075016.233,1149449.773,1149792.762,1075020.051,1075078.742,1149609.417,1150033.51,1074980.944,1074977.554,1149432.194,1149743.455,1074894.321,1074894.561,1149633.19,1149917.204,1074598.223,1074628.416,1149372.646,1149689.14,1074553.967,1074592.887,1150026.291,1150366.454,1074965.853,1074894.226,1149835.617,1150097.361,1074898.787,1074873.152,1150085.025,1150347.87,1074998.737,1074963.571,1149858.006,1150203.751,1074908.044,1074962.508,1149772.671,1150113.578,1074691.395,1074671.044,1149641.695,1149990.169,1074569.494,1074400.941
,19,952546.3476,953253.6399,1074420.236,1074378.559,953287.1634,953364.1512,1074876.356,1074842.82,953094.1997,953169.2112,1074566.659,1074477.98,952962.5468,953308.311,1074989.127,1074968.003,953333.9127,953663.7205,1074943.141,1074986.15,953429.9492,953842.5293,1075074.46,1075119.583,1149604.52,1150146.067,1074807.857,1075119.583,1149484.676,1149800.102,1074977.244,1074986.628,1149382.976,1149735.423,1075007.757,1075051.851,1149536.625,1149980.266,1074971.773,1074942.315,1149359.6,1149677.444,1074886.668,1074865.32,1149560.269,1149855.424,1074592.165,1074605.232,1149302.365,1149626.536,1074558.757,1074573.711,1149946.435,1150300.534,1074972.122,1074866.01,1149760.996,1150036.686,1074877.146,1074833.999,1150011.8,1150283.576,1074981.028,1074931.75,1149788.722,1150143.351,1074905.897,1074942.337,1149702.931,1150052.216,1074689.858,1074654.365,1149572.299,1149924.729,1074564.541,1074380.559
,20,952691.1496,953347.912,1074250.612,1074169.557,953563.7219,953592.2755,1074684.369,1074616.604,953377.2866,953395.7523,1074313.041,1074229.098,953245.8174,953518.9284,1074794.817,1074721.676,953633.2986,953893.178,1074792.18,1074802.74,953659.7915,954013.5219,1074891.655,1074901.835,1149914.96,1150353.103,1074567.275,1074901.835,1149746.22,1149999.843,1074685.714,1074717.907,1149601.308,1149900.641,1074877.948,1074891.346,1149716.865,1150137.792,1074747.654,1074684.814,1149527.241,1149800.842,1074683.732,1074618.523,1149718.037,1149979.609,1074444.534,1074402.559,1149446.455,1149736.422,1074387.106,1074348.128,1150044.501,1150376.622,1074761.133,1074589.043,1149903.76,1150146.857,1074610.895,1074545.944,1150156.692,1150394.409,1074720.728,1074644.93,1149978.801,1150288.035,1074744.456,1074742.872,1149878.853,1150193.804,1074599.756,1074524.814,1149736.012,1150074.759,1074333.805,1074112.746
